kind,name,value
meta,file,096_incidents_domain_model.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/096_incidents_domain_model.py
meta,revision,096_incidents_domain_model
meta,down_revision,095_activity_signal_indexes
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,drop_column,2
op_call,drop_index,8
op_call,drop_table,1
op_call,execute,15
sql_keyword,ALTER TABLE,2
sql_keyword,CREATE INDEX,9
sql_keyword,CREATE TABLE,1
sql_keyword,DROP INDEX,1
sql_keyword,DROP VIEW,1
