kind,name,value
meta,file,116_w2_audit_events.py
meta,path,/root/agenticverz2.0/backend/alembic/versions/116_w2_audit_events.py
meta,revision,116_w2_audit_events
meta,down_revision,115_add_inflection_point_metadata
meta,branch_labels,
meta,depends_on,
meta,has_upgrade,True
meta,has_downgrade,True
op_call,create_check_constraint,4
op_call,create_index,5
op_call,create_table,1
op_call,drop_constraint,4
op_call,drop_index,5
op_call,drop_table,1
op_call,execute,5
sql_keyword,CREATE TRIGGER,1
sql_keyword,DROP TRIGGER,1
sql_keyword,UPDATE,2
